Make,Model,Year,EngineCapacity,TransmissionType,HandlingCapability,InstrumentsAndControls,SafetyAndSecurity,ExteriorDesign,InteriorDesign,AudioSystem,ComfortAndConvenience,MaintenancePrograms,ExtraPackages
Toyota,Corolla Hatchback,2016,2,Manual,Anti-lock Brakes| Traction ControlTPAS,Navigation| Service Indicator,Lane Assist|  Automatic Fuel cut-off| Front and Side Airbags,Alloy Wheels| Metallic Paint,Rear Cup Holders| Adjustable Seats| Glove Box,Bluetooth| Smart Radio,Automatic Wipers| Sunroof,36-month/36|000-mile limited warranty, Sports Package
Toyota,Camry,1992,2.5,Manual,Anti-lock Brakes| Power Steering,on-board Computer| Service Indicator, Automatic Fuel cut-off| Rear-view Camera| Lane Assist,Trim| Alloy Wheels,Leather upholstery| Rear Cup Holders| Screen,CD Player| Satellite Radio,SelfLock| Cruise Control,,Premium Package
Toyota,Avalon,2000,2,Automatic,4-Wheel Drive| Power Steering,Navigation| on-board Computer,Front and Side Airbags| Rear-view Camera|  Automatic Fuel cut-off,Sunroof| Alloy Wheels,Glove Box| Rear Cup Holders| Leather upholstery,Satellite Radio| Smart Radio,SelfLock| KeyLess Entry,36-month/36|000-mile limited warranty, Sports Package
Toyota,Corolla Hybrid,2020,5,Automatic,Power Steering| 4-Wheel Drive,on-board Computer| Service Indicator,Lane Assist| Front and Side Airbags|  Automatic Fuel cut-off,Trim| Metallic Paint,Adjustable Seats| Rear Cup Holders| Glove Box,CD Player| Smart Radio,Remote Start| SelfLock,, Basic Package
Toyota,Mirai,1990,2.4,Automatic,Anti-lock Brakes| Power Steering,on-board Computer| Navigation,Seatbelt Sensor|  Automatic Fuel cut-off| Lane Assist,Trim| Sunroof,Screen| Leather upholstery| Rear Cup Holders,AM/FM Radio| Bluetooth,Heated Seats| SelfLock,, Basic Package
Toyota,Mirai,1995,4.8,Manual,Traction ControlTPAS| 4-Wheel Drive,Service Indicator| Navigation,Lane Assist| Front and Side Airbags| Rear-view Camera,Metallic Paint| Alloy Wheels,Glove Box| Adjustable Seats| Leather upholstery,Bluetooth| CD Player,SelfLock| Sunroof,36-month/36|000-mile limited warranty,Premium Package
Toyota,Prius,1994,2.4,Manual,Power Steering| Traction ControlTPAS,on-board Computer| Navigation, Automatic Fuel cut-off| Rear-view Camera| Front and Side Airbags,Sunroof| Trim,Glove Box| Screen| Adjustable Seats,CD Player| AM/FM Radio,SelfLock| Automatic Wipers,, Basic Package
Toyota,Avalon Hybrid,2001,5,Manual,Power Steering| Anti-lock Brakes,Service Indicator| Navigation,Rear-view Camera| Seatbelt Sensor|  Automatic Fuel cut-off,Trim| Alloy Wheels,Glove Box| Rear Cup Holders| Screen,Satellite Radio| Bluetooth,Automatic Wipers| Sunroof,4-year/50|000-mile bumper-to-bumper warranty, Basic Package
Toyota,Yaris Hatchback,2002,3,Automatic,Traction ControlTPAS| 4-Wheel Drive,on-board Computer| Service Indicator, Automatic Fuel cut-off| Seatbelt Sensor| Front and Side Airbags,Alloy Wheels| Trim,Rear Cup Holders| Adjustable Seats| Leather upholstery,Smart Radio| Satellite Radio,Remote Start| Automatic Wipers,4-year/50|000-mile bumper-to-bumper warranty, Basic Package
Toyota,GR Supra,2013,4.8,Automatic,4-Wheel Drive| Anti-lock Brakes,Navigation| Service Indicator,Seatbelt Sensor|  Automatic Fuel cut-off| Lane Assist,Sunroof| Metallic Paint,Screen| Leather upholstery| Adjustable Seats,Bluetooth| Smart Radio,Automatic Wipers| Heated Seats,36-month/36|000-mile limited warranty, Basic Package
Toyota,Yaris Hatchback,2005,5,Automatic,Traction ControlTPAS| Anti-lock Brakes,Navigation| Service Indicator,Seatbelt Sensor|  Automatic Fuel cut-off| Front and Side Airbags,Sunroof| Metallic Paint,Glove Box| Adjustable Seats| Screen,Smart Radio| Satellite Radio,SelfLock| Heated Seats,TCUV warranty, Sports Package
Toyota,Camry Hybrid,1994,2.5,Automatic,Anti-lock Brakes| 4-Wheel Drive,Navigation| Service Indicator,Lane Assist| Seatbelt Sensor|  Automatic Fuel cut-off,Trim| Metallic Paint,Screen| Rear Cup Holders| Leather upholstery,CD Player| Smart Radio,Remote Start| Cruise Control,4-year/50|000-mile bumper-to-bumper warranty,Premium Package
Toyota,86,2010,4.5,Manual,Power Steering| Anti-lock Brakes,Navigation| on-board Computer,Rear-view Camera| Lane Assist| Front and Side Airbags,Sunroof| Trim,Adjustable Seats| Leather upholstery| Rear Cup Holders,Satellite Radio| AM/FM Radio,Sunroof| Heated Seats,4-year/50|000-mile bumper-to-bumper warranty, Basic Package
Toyota,Yaris Hatchback,2008,3,Manual,Traction ControlTPAS| Anti-lock Brakes,Service Indicator| Navigation, Automatic Fuel cut-off| Front and Side Airbags| Lane Assist,Metallic Paint| Trim,Glove Box| Rear Cup Holders| Screen,Bluetooth| Satellite Radio,Remote Start| Sunroof,, Sports Package
Toyota,Camry Hybrid,2000,2.8,Manual,4-Wheel Drive| Power Steering,Service Indicator| Navigation,Lane Assist| Rear-view Camera| Seatbelt Sensor,Alloy Wheels| Metallic Paint,Rear Cup Holders| Leather upholstery| Glove Box,Bluetooth| Satellite Radio,SelfLock| Cruise Control,4-year/50|000-mile bumper-to-bumper warranty, Sports Package
Toyota,Prius Prime,2000,4.5,Automatic,4-Wheel Drive| Power Steering,Navigation| on-board Computer, Automatic Fuel cut-off| Lane Assist| Seatbelt Sensor,Alloy Wheels| Sunroof,Glove Box| Adjustable Seats| Leather upholstery,Bluetooth| Satellite Radio,Remote Start| Cruise Control,36-month/36|000-mile limited warranty, Basic Package
